"Id","SalePrice"
1461,116905.403787672
1462,161619.959219696
1463,182991.727998204
1464,192431.838043018
1465,200390.827220247
1466,167897.146531972
1467,175836.641279184
1468,162641.872523646
1469,193688.726743397
1470,121759.656526772
1471,196621.892757489
1472,94005.9667594367
1473,94184.3141916743
1474,153161.703946285
1475,113380.279919055
1476,365380.803544928
1477,253260.372899071
1478,286837.368204692
1479,283748.053334933
1480,479071.017589703
1481,352586.844314926
1482,214845.080876417
1483,176785.844851458
1484,165377.151318545
1485,191102.089689309
1486,197647.825205549
1487,331862.991897781
1488,234131.663016403
1489,194716.332885999
1490,222348.901063125
1491,194739.755771208
1492,90662.7137330119
1493,189345.703578503
1494,298302.832750418
1495,301581.891708073
1496,231353.819425954
1497,181439.986844974
1498,166866.107671166
1499,162936.007628916
1500,155748.76995065
1501,170722.384055613
1502,153460.068165633
1503,288344.089413348
1504,245594.995691941
1505,224519.41956457
1506,196683.188497108
1507,241803.281678262
1508,200879.222440938
1509,160251.905914975
1510,146344.253067835
1511,146353.553643557
1512,182326.803664427
1513,140754.567194463
1514,169273.475171753
1515,189361.105490437
1516,157140.896075767
1517,168100.097525154
1518,137606.810737153
1519,213571.52226495
1520,131839.227953123
1521,131763.224991929
1522,173576.305031903
1523,109988.337004113
1524,124556.31566442
1525,119978.916889424
1526,121615.629571424
1527,102521.692675557
1528,136987.576877466
1529,149203.181966343
1530,178421.951040056
1531,108957.463784722
1532,103608.716649843
1533,153114.597310653
1534,120835.019165532
1535,155194.060746345
1536,113402.218037706
1537,67871.1831319065
1538,160261.980002076
1539,198840.460871599
1540,93279.1906143872
1541,142188.33386326
1542,144689.263712829
1543,200651.872215507
1544,86745.0072153088
1545,113455.926195353
1546,133766.876237854
1547,134154.282461205
1548,140318.740027003
1549,118254.519744958
1550,139874.286019724
1551,116960.976343314
1552,133924.61809483
1553,152868.599109104
1554,119197.496982183
1555,167994.941697111
1556,86638.9611961421
1557,108047.382685882
1558,93084.366400833
1559,85853.3600098387
1560,142942.153761266
1561,135671.882553392
1562,131915.965940725
1563,121447.569623521
1564,160341.882956859
1565,145821.753099389
1566,239194.519564289
1567,73760.6170806079
1568,234188.974820519
1569,131123.404878411
1570,140372.650462941
1571,124047.733078763
1572,146377.866920954
1573,235455.136636647
1574,124327.181589681
1575,222522.444764057
1576,237242.506670374
1577,186598.316469216
1578,141574.538365841
1579,142756.360874569
1580,194814.56899955
1581,157254.794921551
1582,127447.708111832
1583,316199.925481894
1584,221689.780904661
1585,143485.843485476
1586,65118.956464507
1587,100490.769641478
1588,150487.85110045
1589,96594.1330390072
1590,135083.296495715
1591,95808.7305606867
1592,114737.893266699
1593,124361.692880904
1594,131797.442603486
1595,113572.316945678
1596,237352.32260362
1597,192563.571858819
1598,220784.321496767
1599,168403.842586431
1600,170720.545887863
1601,60293.1234980828
1602,108064.526161599
1603,81450.9680237963
1604,270264.665594532
1605,247202.242098723
1606,171683.403391407
1607,172122.545925381
1608,219464.315001543
1609,187301.878816096
1610,147385.98690236
1611,141345.396300485
1612,165929.17096182
1613,158780.131102516
1614,122711.617097161
1615,90931.9173026511
1616,77813.8169450716
1617,91291.7229035956
